Species	N_hits	Dominant_component	Min_adj_p	Dominant_coef	Dominant_se	Dominant_contig
Brotaphodocola sp003478505	7	ZI	0.00399327073051847	0.515495121272539	0.0991226675850131	JAGZGM010000030.1 MAG: Clostridiaceae bacterium isolate L3_083_000G1_dasL3_083_000G1_concoct_57 L3_083_000G1_scaffold_1042, whole genome shotgun sequence
Blautia_A acetigignens	9	ZI	0.00583491427287226	0.509532548200819	0.099337920823687	CAKXHN010000001.1 MAG: Ruminococcus sp. AF31-8BH isolate MTG243_bin.64.fa genome assembly, contig: NODE_62_length_210291_cov_26.490225, whole genome shotgun sequence
Escherichia coli	16	Beta	0.00629889879769142	0.081908604930832	0.0160036928325267	JAIJOO010000400.1 MAG: Escherichia coli isolate Map_7_007 contig_100_10057, whole genome shotgun sequence
Lachnospira sp003537285	9	ZI	0.00730174919852123	0.492186710220365	0.0967630671243779	JALEWH010000119.1 MAG: Eubacterium sp. isolate SUG394 k141_108283, whole genome shotgun sequence
Streptococcus anginosus	7	ZI	0.00821761647008912	-0.576945549887543	0.113932109532952	NZ_AICP01000001.1 Streptococcus anginosus subsp. whileyi CCUG 39159 ctg120005254414, whole genome shotgun sequence
Faecalibacterium sp905215595	1	Beta	0.00965191588475513	-0.0512277344014048	0.0101705845454974	CAJMQZ010000001.1 TPA_asm: uncultured bacterium isolate ERR1600666-bin.42 genome assembly, contig: NODE_935_length_53947_cov_11.260131, whole genome shotgun sequence
Phocaeicola plebeius_A	4	ZI	0.011480934422296	-0.512906648840947	0.102593784055394	CAUASH010000001.1 MAG TPA_asm: Phocaeicola plebeius isolate ERR8263771_bin.17_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18534305.203, whole genome shotgun sequence
Lachnospira eligens_A	4	ZI	0.0116770546390708	0.489922711741944	0.0980612808520969	NZ_QRWW01000001.1 Lachnospira eligens strain AF18-47 AF18-47.Scaf1, whole genome shotgun sequence
Hominilimicola fabiformis	16	ZI	0.0121257729584207	0.558768045959118	0.112006088660258	FR887580.1 Firmicutes bacterium CAG:41 genomic scaffold, scf1, whole genome shotgun sequence
Eubacterium_G sp000435815	2	ZI	0.0148949290313438	0.605301037769959	0.12231873026104	USQU01000001.1 uncultured Clostridiales bacterium isolate UMGS1989 genome assembly, contig: NODE_740_length_39602_cov_4.722193, whole genome shotgun sequence
